

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:03:19 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,
428,1981-10-01,,-99.9,-99.9,-99.9,
428,1981-10-02,,-99.9,-99.9,-99.9,
428,1981-10-03,,-99.9,-99.9,-99.9,
428,1981-10-04,,-99.9,-99.9,-99.9,
428,1981-10-05,,-99.9,-99.9,-99.9,
428,1981-10-06,,-99.9,-99.9,-99.9,
428,1981-10-07,,-99.9,-99.9,-99.9,
428,1981-10-08,,-99.9,-99.9,-99.9,
428,1981-10-09,,-99.9,-99.9,-99.9,
428,1981-10-10,,-99.9,-99.9,-99.9,
428,1981-10-11,,-99.9,-99.9,-99.9,
428,1981-10-12,,-99.9,-99.9,-99.9,
428,1981-10-13,,-99.9,-99.9,-99.9,
428,1981-10-14,,-99.9,-99.9,-99.9,
428,1981-10-15,,-99.9,-99.9,-99.9,
428,1981-10-16,,-99.9,-99.9,-99.9,
428,1981-10-17,,-99.9,-99.9,-99.9,
428,1981-10-18,,-99.9,-99.9,-99.9,
428,1981-10-19,,-99.9,-99.9,-99.9,
428,1981-10-20,,-99.9,-99.9,-99.9,
428,1981-10-21,,-99.9,-99.9,-99.9,
428,1981-10-22,,-99.9,-99.9,-99.9,
428,1981-10-23,,-99.9,-99.9,-99.9,
428,1981-10-24,,-99.9,-99.9,-99.9,
428,1981-10-25,,-99.9,-99.9,-99.9,
428,1981-10-26,,-99.9,-99.9,-99.9,
428,1981-10-27,,-99.9,-99.9,-99.9,
428,1981-10-28,,-99.9,-99.9,-99.9,
428,1981-10-29,,-99.9,-99.9,-99.9,
428,1981-10-30,,-99.9,-99.9,-99.9,
428,1981-10-31,,-99.9,-99.9,-99.9,
428,1981-11-01,,-99.9,-99.9,-99.9,
428,1981-11-02,,-99.9,-99.9,-99.9,
428,1981-11-03,,-99.9,-99.9,-99.9,
428,1981-11-04,,-99.9,-99.9,-99.9,
428,1981-11-05,,-99.9,-99.9,-99.9,
428,1981-11-06,,-99.9,-99.9,-99.9,
428,1981-11-07,,-99.9,-99.9,-99.9,
428,1981-11-08,,-99.9,-99.9,-99.9,
428,1981-11-09,,-99.9,-99.9,-99.9,
428,1981-11-10,,-99.9,-99.9,-99.9,
428,1981-11-11,,-99.9,-99.9,-99.9,
428,1981-11-12,,-99.9,-99.9,-99.9,
428,1981-11-13,,-99.9,-99.9,-99.9,
428,1981-11-14,,-99.9,-99.9,-99.9,
428,1981-11-15,,-99.9,-99.9,-99.9,
428,1981-11-16,,-99.9,-99.9,-99.9,
428,1981-11-17,,-99.9,-99.9,-99.9,
428,1981-11-18,,-99.9,-99.9,-99.9,
428,1981-11-19,,-99.9,-99.9,-99.9,
428,1981-11-20,,-99.9,-99.9,-99.9,
428,1981-11-21,,-99.9,-99.9,-99.9,
428,1981-11-22,,-99.9,-99.9,-99.9,
428,1981-11-23,,-99.9,-99.9,-99.9,
428,1981-11-24,,-99.9,-99.9,-99.9,
428,1981-11-25,,-99.9,-99.9,-99.9,
428,1981-11-26,,-99.9,-99.9,-99.9,
428,1981-11-27,,-99.9,-99.9,-99.9,
428,1981-11-28,,-99.9,-99.9,-99.9,
428,1981-11-29,,-99.9,-99.9,-99.9,
428,1981-11-30,,-99.9,-99.9,-99.9,
428,1981-12-01,,-99.9,-99.9,-99.9,
428,1981-12-02,,-99.9,-99.9,-99.9,
428,1981-12-03,,-99.9,-99.9,-99.9,
428,1981-12-04,,-99.9,-99.9,-99.9,
428,1981-12-05,,-99.9,-99.9,-99.9,
428,1981-12-06,,-99.9,-99.9,-99.9,
428,1981-12-07,,-99.9,-99.9,-99.9,
428,1981-12-08,,-99.9,-99.9,-99.9,
428,1981-12-09,,-99.9,-99.9,-99.9,
428,1981-12-10,,-99.9,-99.9,-99.9,
428,1981-12-11,,-99.9,-99.9,-99.9,
428,1981-12-12,,-99.9,-99.9,-99.9,
428,1981-12-13,,-99.9,-99.9,-99.9,
428,1981-12-14,,-99.9,-99.9,-99.9,
428,1981-12-15,,-99.9,-99.9,     1.4,
428,1981-12-16,,-99.9,-99.9,    -4.6,
428,1981-12-17,,-99.9,-99.9,    -4.1,
428,1981-12-18,,-99.9,-99.9,     3.6,
428,1981-12-19,,-99.9,-99.9,     4.7,
