

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:03 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1994-10-01,,     0.0,     0.0,     5.0,    21.0,     2.3,     9.1,
428,1994-10-02,,     0.0,     0.0,     6.6,    21.0,     3.3,    10.7,
428,1994-10-03,,     0.0,     0.0,     6.1,    21.8,     3.9,    10.9,
428,1994-10-04,,     0.0,     0.4,     0.4,    14.9,     0.0,     5.1,
428,1994-10-05,,     0.4,     1.2,     0.0,     3.9,     0.0,     0.8,
428,1994-10-06,,     0.0,     1.2,    -0.5,     8.5,    -1.4,     2.2,
428,1994-10-07,,     0.0,     1.2,     3.5,    16.7,    -1.2,     5.3,
428,1994-10-08,,     0.0,     1.2,     5.7,    20.7,     0.2,     8.3,
428,1994-10-09,,     0.0,     1.2,     4.4,    21.9,     1.1,     9.1,
428,1994-10-10,,     0.0,     1.2,     4.2,    18.1,     1.1,     8.7,
428,1994-10-11,,     0.0,     1.2,     4.8,    15.3,     2.2,     7.4,
428,1994-10-12,,     0.0,     1.3,     4.4,    15.1,     1.3,     7.3,
428,1994-10-13,,     0.0,     1.5,     0.8,    10.9,    -0.2,     4.4,
428,1994-10-14,,     0.0,     1.5,     1.7,    15.4,    -2.5,     4.4,
428,1994-10-15,,     0.0,     1.8,    -3.0,     6.3,    -3.0,     2.6,
428,1994-10-16,,     0.0,     1.8,    -3.0,     6.9,    -3.8,    -0.8,
428,1994-10-17,,     0.0,     1.8,    -1.2,    10.5,    -3.8,     1.0,
