

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:05:13 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2017-10-01,,     0.0,     0.0,     4.2,    16.5,     4.2,     9.7,       0,
428,2017-10-02,,     0.0,     0.0,     3.1,    15.8,     1.0,     7.1,       0,
428,2017-10-03,,     0.0,     0.0,     2.0,    12.8,     0.5,     4.9,       0,
428,2017-10-04,,     0.0,     0.0,    -0.6,     8.3,    -0.6,     3.3,       0,
428,2017-10-05,,     0.0,     0.0,     1.4,    13.1,    -1.4,     4.6,       0,
428,2017-10-06,,     0.0,     0.0,     4.2,    16.2,    -0.4,     6.5,       0,
428,2017-10-07,,     0.0,     0.1,     5.5,    21.8,     4.1,    11.2,       0,
428,2017-10-08,,     0.0,     0.1,     4.9,    19.3,     3.7,    10.1,       0,
428,2017-10-09,,     0.0,     0.1,     2.7,    13.8,     1.9,     6.2,       0,
428,2017-10-10,,     0.0,     0.1,     1.5,    14.2,     1.5,     5.9,       0,
428,2017-10-11,,     0.0,     0.1,     2.5,    14.7,     1.0,     6.7,       0,
428,2017-10-12,,     0.0,     0.1,    -0.2,    10.3,    -1.2,     5.1,       0,
428,2017-10-13,,     0.0,     0.1,    -0.6,    13.5,    -2.1,     4.0,       0,
428,2017-10-14,,     0.0,     0.1,     2.1,    13.1,    -1.5,     4.2,       0,
428,2017-10-15,,     0.0,     0.1,     0.9,    12.7,    -0.2,     4.9,       0,
428,2017-10-16,,     0.0,     0.1,     2.9,    19.9,    -0.4,     8.0,       0,
428,2017-10-17,,     0.0,     0.1,     4.8,    21.5,     2.0,     9.5,       0,
428,2017-10-18,,     0.0,     0.3,     2.8,    17.9,     2.8,     8.8,       0,
428,2017-10-19,,     0.0,     0.3,     4.4,    19.3,     1.6,     8.6,       0,
428,2017-10-20,,     0.0,     0.5,     4.4,    12.2,     2.6,     6.9,       0,
428,2017-10-21,,     0.2,     1.2,    -2.3,     4.5,    -2.3,     0.1,       1,
428,2017-10-22,,     0.0,     1.2,     1.1,     9.0,    -3.2,     1.8,       0,
428,2017-10-23,,     0.0,     1.3,     9.0,    17.4,     0.5,     7.4,       0,
428,2017-10-24,,     0.0,     1.4,    10.3,    19.2,     6.2,    11.8,       0,
428,2017-10-25,,     0.0,     1.4,     6.1,    18.8,     6.2,    11.4,       0,
428,2017-10-26,,     0.0,     1.4,     7.1,    22.2,     4.6,    11.2,       0,
428,2017-10-27,,     0.0,     1.4,     7.0,    21.4,     4.3,    10.7,       0,
428,2017-10-28,,     0.0,     1.4,     8.1,    20.3,     5.7,    11.1,       0,
428,2017-10-29,,     0.0,     1.4,     6.4,    21.7,     5.8,    11.6,       0,
428,2017-10-30,,     0.0,     1.4,     4.7,    20.6,     4.2,    10.0,       0,
428,2017-10-31,,     0.0,     1.4,     5.4,    13.8,     3.1,     7.3,       0,
428,2017-11-01,,     0.0,     1.4,     2.0,    14.7,     2.0,     6.8,       0,
428,2017-11-02,,     0.0,     1.4,     2.3,    15.4,     1.2,     6.5,       0,
428,2017-11-03,,     0.0,     1.4,     3.1,     9.3,     1.6,     4.1,       0,
428,2017-11-04,,     0.2,     2.1,     2.2,     3.1,     1.1,     1.7,       2,
428,2017-11-05,,     1.4,     3.5,     1.3,     2.4,     0.9,     1.4,       4,
428,2017-11-06,,     1.5,     3.8,     0.3,     2.5,    -0.2,     0.8,       5,
428,2017-11-07,,     1.4,     3.8,    -3.2,     5.0,    -3.2,     0.7,       5,
428,2017-11-08,,     1.4,     3.8,    -2.3,     9.5,    -5.4,    -0.3,       5,
428,2017-11-09,,     1.2,     3.8,     3.5,     5.6,    -2.3,     3.7,       5,
428,2017-11-10,,     1.0,     5.6,     1.8,     3.6,     1.2,     2.6,       4,
428,2017-11-11,,     0.8,     5.8,     1.8,     3.4,     1.0,     2.0,       3,
428,2017-11-12,,     0.6,     5.8,    -0.3,     8.5,    -0.4,     2.5,       2,
428,2017-11-13,,     0.6,     5.8,     2.1,     8.1,    -0.4,     3.1,       2,
428,2017-11-14,,     0.5,     6.7,     3.2,     5.3,     0.8,     2.9,       1,
428,2017-11-15,,     0.5,     6.8,     2.9,     7.1,     1.1,     3.2,       1,
428,2017-11-16,,     2.6,     9.2,     1.7,     4.7,     0.8,     2.3,       6,
