,Eur,IOD,NAO,Nino34
1950-01,-0.06,-0.71,-0.298,-2.36
1950-02,-0.085,1.25,-0.071,-0.03
1950-03,0.368,0.78,-0.134,3.81
1950-04,-1.036,0.1,-0.479,-0.44
1950-05,-0.148,0.55,-0.543,1.02
1950-06,-1.163,0.65,-0.292,0.06
1950-07,-1.204,-0.53,-0.308,1.82
1950-08,2.062,-1.03,-0.316,-0.16
1950-09,-1.438,-1.69,-0.149,2.91
1950-10,-2.013,-0.8,-0.372,-1.43
1950-11,-2.484,0.95,-0.228,0.1
1950-12,-1.506,0.74,0.149,-0.21
1951-01,1.645,1.79,0.024,-0.22
1951-02,-3.311,1.23,-0.45,0.77
1951-03,0.385,-1.29,-0.524,3.1
1951-04,-1.046,-0.38,-0.308,3.02
1951-05,-3.232,-0.19,-0.267,1.15
1951-06,-0.576,1.32,-0.332,-3.41
1951-07,-0.409,0.47,-0.6,4.19
1951-08,-2.967,0.17,0.192,-1.43
1951-09,-2.412,-0.8,0.15,3.44
1951-10,-0.163,-0.28,-0.427,0.82
1951-11,0.166,2.32,-0.062,1.71
1951-12,1.232,0.47,-0.536,1.02
1952-01,0.232,-0.27,-0.171,-1.83
1952-02,1.595,0.02,0.088,-2.46
1952-03,0.034,0.25,-0.251,-0.29
1952-04,-3.767,0.13,-0.123,-0.43
1952-05,-0.347,-0.81,-0.333,0.42
1952-06,-2.233,-1.61,-0.081,2.05
1952-07,-2.066,0.94,-0.758,3.0
1952-08,-0.116,1.26,-0.342,2.16
1952-09,-0.883,-0.77,-0.986,-1.03
1952-10,1.359,0.16,-0.392,2.43
1952-11,0.905,-0.05,-0.966,-1.19
1952-12,-2.806,0.61,-0.57,4.0
1953-01,-0.568,-0.06,-0.638,3.78
1953-02,-1.148,1.09,0.727,0.99
1953-03,0.265,2.08,-0.371,2.22
1953-04,3.106,-0.01,0.308,1.16
1953-05,1.001,-0.81,-0.732,0.48
1953-06,0.723,-1.73,-0.376,0.91
1953-07,0.55,-0.42,0.092,1.72
1953-08,3.495,-1.4,0.236,-1.02
1953-09,-0.288,1.25,-0.425,2.49
1953-10,-0.154,-0.58,-0.31,3.56
1953-11,-1.2,-1.45,-0.473,-1.13
1953-12,-0.457,1.36,-0.257,-0.06
1954-01,-2.081,0.55,0.805,1.14
1954-02,0.11,0.95,-0.399,-0.18
1954-03,1.27,2.58,-0.152,3.67
1954-04,-0.959,-1.44,0.058,0.61
1954-05,1.381,-1.95,0.69,0.97
1954-06,-0.472,-1.06,-0.074,0.38
1954-07,-1.686,-1.37,-0.01,2.22
1954-08,0.356,-0.19,-0.218,0.6
1954-09,-0.17,0.23,-0.564,2.35
1954-10,2.034,-0.46,-0.463,0.31
1954-11,0.819,0.79,0.362,0.13
1954-12,0.8,3.08,0.621,0.07
1955-01,-2.587,1.39,-0.269,0.65
